iter	Passed	Remaining
0	52	52869
1	59	29639
2	65	21617
3	66	16546
4	67	13505
5	82	13724
6	84	11957
7	89	11143
8	91	10026
9	92	9153
10	93	8436
11	95	7841
12	96	7335
13	98	6902
14	99	6523
15	100	6194
16	102	5905
17	103	5646
18	104	5414
19	106	5204
20	107	5017
21	108	4843
22	110	4686
23	111	4544
24	113	4434
25	116	4355
26	118	4285
27	121	4214
28	123	4148
29	126	4088
30	128	4031
31	131	3978
32	134	3927
33	136	3880
34	139	3835
35	141	3793
36	144	3754
37	146	3716
38	149	3679
39	151	3643
40	154	3610
41	156	3577
42	159	3544
43	161	3512
44	164	3483
45	166	3454
46	167	3404
47	169	3356
48	170	3310
49	171	3266
50	173	3223
51	174	3181
52	175	3142
53	177	3104
54	178	3067
55	179	3031
56	181	2996
57	182	2962
58	183	2930
59	185	2900
60	186	2870
61	187	2840
62	189	2812
63	190	2784
64	191	2757
65	193	2732
66	194	2707
67	195	2682
68	196	2656
69	198	2633
70	199	2610
71	200	2588
72	202	2567
73	203	2546
74	204	2526
75	206	2506
76	207	2487
77	208	2468
78	210	2449
79	211	2432
80	212	2414
81	214	2397
82	215	2380
83	216	2364
84	218	2348
85	219	2332
86	220	2317
87	222	2302
88	223	2287
89	224	2272
90	226	2258
91	227	2244
92	228	2230
93	230	2217
94	231	2204
95	232	2191
96	234	2179
97	235	2166
98	236	2154
99	238	2142
100	239	2130
101	240	2118
102	241	2107
103	243	2095
104	244	2085
105	245	2074
106	247	2063
107	248	2053
108	249	2042
109	251	2032
110	252	2022
111	253	2012
112	255	2002
113	256	1993
114	258	1985
115	259	1976
116	260	1967
117	262	1958
118	263	1949
119	264	1940
120	265	1931
121	267	1923
122	268	1914
123	269	1906
124	271	1898
125	272	1890
126	273	1882
127	275	1874
128	276	1867
129	277	1859
130	279	1852
131	280	1845
132	281	1837
133	283	1830
134	284	1823
135	285	1816
136	287	1809
137	288	1802
138	289	1795
139	291	1788
140	292	1782
141	293	1775
142	295	1768
143	296	1762
144	297	1756
145	299	1750
146	300	1743
147	301	1737
148	303	1731
149	304	1725
150	305	1719
151	307	1713
152	308	1707
153	309	1701
154	311	1695
155	312	1689
156	313	1684
157	315	1678
158	316	1673
159	317	1668
160	319	1662
161	320	1657
162	321	1651
163	322	1646
164	324	1641
165	325	1635
166	326	1630
167	328	1625
168	329	1620
169	330	1615
170	332	1610
171	333	1605
172	334	1600
173	336	1595
174	337	1590
175	338	1586
176	340	1581
177	341	1576
178	342	1572
179	344	1567
180	345	1563
181	346	1558
182	348	1554
183	349	1549
184	350	1545
185	352	1540
186	353	1536
187	354	1532
188	356	1528
189	357	1524
190	358	1520
191	360	1516
192	361	1512
193	362	1508
194	364	1503
195	365	1499
196	367	1495
197	368	1492
198	369	1488
199	371	1484
200	372	1480
201	373	1476
202	375	1472
203	376	1468
204	377	1464
205	379	1460
206	380	1457
207	381	1453
208	383	1449
209	384	1445
210	385	1442
211	387	1438
212	388	1434
213	389	1431
214	390	1427
215	392	1423
216	393	1420
217	394	1416
218	396	1413
219	397	1409
220	398	1405
221	400	1402
222	401	1399
223	402	1395
224	404	1392
225	405	1388
226	406	1385
227	408	1382
228	409	1378
229	410	1375
230	412	1371
231	413	1368
232	414	1365
233	416	1362
234	417	1359
235	418	1356
236	420	1353
237	422	1351
238	423	1348
239	424	1344
240	426	1341
241	427	1339
242	428	1336
243	430	1333
244	431	1329
245	432	1326
246	434	1324
247	435	1321
248	436	1317
249	438	1314
250	439	1312
251	441	1309
252	442	1306
253	443	1303
254	445	1300
255	446	1297
256	447	1294
257	449	1291
258	450	1289
259	451	1286
260	453	1283
261	454	1281
262	456	1278
263	457	1275
264	458	1272
265	460	1269
266	461	1267
267	462	1264
268	464	1261
269	465	1258
270	466	1256
271	468	1253
272	469	1250
273	471	1248
274	472	1245
275	473	1242
276	475	1240
277	476	1237
278	477	1234
279	479	1231
280	480	1229
281	481	1226
282	483	1223
283	484	1221
284	485	1218
285	487	1216
286	488	1213
287	489	1211
288	491	1208
289	492	1205
290	493	1203
291	495	1200
292	496	1198
293	497	1195
294	499	1192
295	500	1190
296	501	1187
297	503	1185
298	504	1182
299	505	1180
300	507	1177
301	508	1175
302	509	1173
303	511	1170
304	512	1168
305	513	1165
306	515	1163
307	516	1160
308	517	1158
309	519	1155
310	520	1153
311	521	1150
312	523	1148
313	524	1146
314	525	1143
315	527	1141
316	529	1140
317	530	1137
318	531	1135
319	533	1133
320	534	1130
321	535	1128
322	537	1125
323	538	1123
324	539	1121
325	541	1118
326	542	1116
327	543	1114
328	545	1111
329	546	1109
330	547	1107
331	549	1104
332	550	1102
333	551	1100
